ProductKey,ProductName,ListPrice,ProductSubcategoryKey
212,"Sport-100 Helmet, Red",33.6442,31
213,"Sport-100 Helmet, Red",33.6442,31
214,"Sport-100 Helmet, Red",34.99,31
215,"Sport-100 Helmet, Black",33.6442,31
216,"Sport-100 Helmet, Black",33.6442,31
217,"Sport-100 Helmet, Black",34.99,31
218,"Mountain Bike Socks, M",9.5,23
219,"Mountain Bike Socks, L",9.5,23
220,"Sport-100 Helmet, Blue",33.6442,31
221,"Sport-100 Helmet, Blue",33.6442,31
222,"Sport-100 Helmet, Blue",34.99,31
223,AWC Logo Cap,8.6442,19
224,AWC Logo Cap,8.6442,19
225,AWC Logo Cap,8.99,19
226,"Long-Sleeve Logo Jersey, S",48.0673,21
227,"Long-Sleeve Logo Jersey, S",48.0673,21
228,"Long-Sleeve Logo Jersey, S",49.99,21
229,"Long-Sleeve Logo Jersey, M",48.0673,21
230,"Long-Sleeve Logo Jersey, M",48.0673,21
231,"Long-Sleeve Logo Jersey, M",49.99,21
232,"Long-Sleeve Logo Jersey, L",48.0673,21
233,"Long-Sleeve Logo Jersey, L",48.0673,21
234,"Long-Sleeve Logo Jersey, L",49.99,21
235,"Long-Sleeve Logo Jersey, XL",48.0673,21
236,"Long-Sleeve Logo Jersey, XL",48.0673,21
237,"Long-Sleeve Logo Jersey, XL",49.99,21
238,"HL Road Frame - Red, 62",1263.4598,14
239,"HL Road Frame - Red, 62",1301.3636,14
240,"HL Road Frame - Red, 62",1431.5,14
241,"HL Road Frame - Red, 44",1263.4598,14
242,"HL Road Frame - Red, 44",1301.3636,14
243,"HL Road Frame - Red, 44",1431.5,14
244,"HL Road Frame - Red, 48",1263.4598,14
245,"HL Road Frame - Red, 48",1301.3636,14
246,"HL Road Frame - Red, 48",1431.5,14
247,"HL Road Frame - Red, 52",1263.4598,14
248,"HL Road Frame - Red, 52",1301.3636,14
249,"HL Road Frame - Red, 52",1431.5,14
250,"HL Road Frame - Red, 56",1263.4598,14
251,"HL Road Frame - Red, 56",1301.3636,14
252,"HL Road Frame - Red, 56",1431.5,14
253,"LL Road Frame - Black, 58",297.6346,14
254,"LL Road Frame - Black, 58",306.5636,14
255,"LL Road Frame - Black, 58",337.22,14
256,"LL Road Frame - Black, 60",297.6346,14
257,"LL Road Frame - Black, 60",306.5636,14
258,"LL Road Frame - Black, 60",337.22,14
259,"LL Road Frame - Black, 62",297.6346,14
260,"LL Road Frame - Black, 62",306.5636,14
261,"LL Road Frame - Black, 62",337.22,14
262,"LL Road Frame - Red, 44",306.5636,14
263,"LL Road Frame - Red, 44",337.22,14
264,"LL Road Frame - Red, 48",306.5636,14
265,"LL Road Frame - Red, 48",337.22,14
266,"LL Road Frame - Red, 52",306.5636,14
267,"LL Road Frame - Red, 52",337.22,14
268,"LL Road Frame - Red, 58",306.5636,14
269,"LL Road Frame - Red, 58",337.22,14
270,"LL Road Frame - Red, 60",306.5636,14
271,"LL Road Frame - Red, 60",337.22,14
272,"LL Road Frame - Red, 62",306.5636,14
273,"LL Road Frame - Red, 62",337.22,14
274,"ML Road Frame - Red, 44",594.83,14
275,"ML Road Frame - Red, 48",594.83,14
276,"ML Road Frame - Red, 52",594.83,14
277,"ML Road Frame - Red, 58",594.83,14
278,"ML Road Frame - Red, 60",594.83,14
279,"LL Road Frame - Black, 44",297.6346,14
280,"LL Road Frame - Black, 44",306.5636,14
281,"LL Road Frame - Black, 44",337.22,14
282,"LL Road Frame - Black, 48",297.6346,14
283,"LL Road Frame - Black, 48",306.5636,14
284,"LL Road Frame - Black, 48",337.22,14
285,"LL Road Frame - Black, 52",297.6346,14
286,"LL Road Frame - Black, 52",306.5636,14
287,"LL Road Frame - Black, 52",337.22,14
288,"HL Mountain Frame - Silver, 42",1204.3248,12
